lon_deg,lat_deg,z_horizon_elev_m,basement_depth_m
139.751992,-27.715877,-2788.8,2788.8
139.734657,-27.707659,-2699.6,2699.6
139.738082,-27.726637,-2763.9,2763.9
139.723133,-27.683420,-2576.2,2576.2
139.713866,-27.705464,-2593.4,2593.4
139.750109,-27.660160,-2632.5,2632.5
139.716855,-27.650826,-2457.4,2457.4
139.779175,-27.667175,-2798.8,2798.8
139.777501,-27.636351,-2738.6,2738.6
139.796529,-27.655988,-2816.8,2816.8
139.742509,-27.631634,-2546.2,2546.2
139.758117,-27.616274,-2573.2,2573.2
139.712625,-27.617093,-2418.5,2418.5
139.740154,-27.610997,-2498.3,2498.3
139.679948,-27.643091,-2391.3,2391.3
139.692871,-27.670754,-2464.0,2464.0
139.673170,-27.607753,-2299.9,2299.9
139.701845,-27.585982,-2371.2,2371.2
139.645404,-27.629048,-2258.3,2258.3
139.643297,-27.606447,-2251.4,2251.4
139.648008,-27.659396,-2274.4,2274.4
139.621947,-27.645210,-2226.1,2226.1
139.670623,-27.667231,-2418.1,2418.1
139.657783,-27.679323,-2393.2,2393.2
139.674642,-27.683264,-2431.6,2431.6
139.692147,-27.696815,-2525.5,2525.5
139.659889,-27.701863,-2425.8,2425.8
139.680633,-27.715063,-2550.0,2550.0
139.699764,-27.717554,-2609.3,2609.3
139.664745,-27.727494,-2523.4,2523.4
139.686203,-27.730956,-2584.0,2584.0
139.639259,-27.722615,-2367.9,2367.9
139.648484,-27.749986,-2524.6,2524.6
139.634159,-27.704335,-2363.3,2363.3
139.619873,-27.714467,-2370.0,2370.0
139.635966,-27.684233,-2350.3,2350.3
139.616364,-27.697707,-2337.0,2337.0
139.624731,-27.666009,-2207.8,2207.8
139.611726,-27.679285,-2234.9,2234.9
139.606428,-27.660632,-2148.9,2148.9
139.601614,-27.642337,-2179.9,2179.9
139.587687,-27.655180,-2145.2,2145.2
139.605693,-27.611729,-2168.0,2168.0
139.586607,-27.637230,-2161.2,2161.2
139.636190,-27.590550,-2193.2,2193.2
139.655489,-27.592988,-2227.9,2227.9
139.621687,-27.575684,-2134.0,2134.0
139.638431,-27.576229,-2126.5,2126.5
139.587458,-27.557009,-2030.3,2030.3
139.541696,-27.600990,-2041.4,2041.4
139.625754,-27.550854,-2096.8,2096.8
139.635641,-27.565915,-2096.5,2096.5
139.611138,-27.527471,-2045.1,2045.1
139.634952,-27.528480,-2142.4,2142.4
139.583528,-27.495069,-2022.3,2022.3
139.624589,-27.506678,-2057.9,2057.9
139.518306,-27.537458,-1995.4,1995.4
139.856438,-28.499966,-1852.9,1852.9
139.864982,-28.495989,-1828.1,1828.1
139.858901,-28.491322,-1839.2,1839.2
139.877641,-28.494999,-1793.1,1793.1
139.868206,-28.488017,-1793.7,1793.7
139.896239,-28.488811,-1773.8,1773.8
139.909158,-28.497278,-1794.0,1794.0
139.886051,-28.480611,-1775.8,1775.8
139.900388,-28.473689,-1778.2,1778.2
139.876154,-28.483735,-1767.0,1767.0
139.878767,-28.475864,-1792.5,1792.5
139.870434,-28.478986,-1771.5,1771.5
139.861593,-28.482690,-1789.8,1789.8
139.864366,-28.473837,-1792.2,1792.2
139.852628,-28.486103,-1823.3,1823.3
139.855427,-28.477450,-1780.4,1780.4
139.849915,-28.494734,-1827.3,1827.3
139.843634,-28.489222,-1773.1,1773.1
139.846566,-28.480733,-1809.5,1809.5
139.840811,-28.497860,-1772.8,1772.8
139.834609,-28.492130,-1780.3,1780.3
139.831538,-28.500629,-1869.4,1869.4
139.829035,-28.486654,-1860.4,1860.4
139.837387,-28.483303,-1815.7,1815.7
139.841114,-28.475582,-1860.9,1860.9
139.849425,-28.472189,-1824.3,1824.3
139.842874,-28.466302,-1915.5,1915.5
139.834433,-28.457738,-1943.5,1943.5
139.850510,-28.452861,-1941.1,1941.1
139.852532,-28.463826,-1887.7,1887.7
139.840190,-28.441684,-1856.9,1856.9
139.855770,-28.435794,-1953.3,1953.3
139.824732,-28.446957,-1853.0,1853.0
139.829980,-28.430874,-1758.0,1758.0
139.815271,-28.436381,-1804.5,1804.5
139.818377,-28.420128,-1719.5,1719.5
139.835348,-28.414293,-1792.0,1792.0
139.807998,-28.428922,-1795.6,1795.6
139.805139,-28.419964,-1750.3,1750.3
139.800195,-28.428441,-1840.8,1840.8
139.791276,-28.431725,-1915.2,1915.2
139.795604,-28.421988,-1776.8,1776.8
139.786675,-28.423012,-1821.4,1821.4
139.778780,-28.420304,-1828.5,1828.5
139.769393,-28.423524,-1938.6,1938.6
139.784771,-28.416344,-1774.1,1774.1
