lon_deg,lat_deg,elev_m,obs_gravity_um,spherical_bouguer_mgal,infinite_slab_bouguer_mgal
139.940914,-28.094176,25.47,9791533.17,-166.78,-196.16
139.933914,-28.097836,29.27,9791522.57,-172.76,-202.03
139.927744,-28.100676,43.96,9791485.65,-183.18,-212.18
139.921245,-28.103336,23.06,9791534.07,-177.57,-206.87
139.915075,-28.107336,24.42,9791533.17,-178.87,-208.10
139.909745,-28.110006,23.32,9791536.68,-179.55,-208.76
139.902575,-28.113676,20.87,9791543.08,-180.72,-209.94
140.025242,-28.003505,43.29,9791514.16,-82.27,-112.16
140.017242,-27.995675,44.29,9791505.86,-82.74,-112.63
140.013572,-27.990175,45.07,9791497.05,-85.90,-115.79
140.008912,-27.984675,27.92,9791526.47,-85.83,-116.00
140.005412,-27.979175,27.76,9791515.56,-92.92,-123.11
140.000572,-27.971835,27.79,9791498.86,-104.06,-134.27
139.996242,-27.966005,27.97,9791481.45,-116.75,-146.96
139.991072,-27.960335,39.28,9791437.02,-134.86,-164.89
139.985912,-27.953505,43.44,9791410.91,-147.73,-177.71
139.980912,-27.947175,35.74,9791413.61,-155.32,-185.43
139.886747,-28.292507,23.87,9791659.74,-193.60,-221.87
139.885577,-28.300337,25.91,9791658.74,-196.57,-224.76
139.885577,-28.307677,24.22,9791665.14,-199.04,-227.21
139.885577,-28.313337,27.96,9791656.44,-204.74,-232.82
139.885418,-28.321177,24.97,9791663.44,-209.53,-237.62
139.885418,-28.328507,22.45,9791667.54,-215.91,-244.00
139.885078,-28.336007,21.74,9791668.04,-222.48,-250.56
139.884418,-28.343337,21.94,9791667.44,-228.24,-256.29
139.883248,-28.350007,21.60,9791667.64,-233.75,-261.79
139.883078,-28.356837,21.92,9791665.24,-240.70,-268.72
139.874578,-28.356337,24.31,9791663.44,-237.49,-265.44
139.821748,-28.275177,22.15,9791682.85,-160.88,-189.08
139.822248,-28.282837,19.02,9791691.36,-164.31,-192.51
139.822578,-28.289507,17.26,9791696.26,-167.91,-196.09
139.822248,-28.297007,17.50,9791696.26,-173.15,-201.27
139.822248,-28.305177,18.43,9791692.46,-181.34,-209.41
139.823578,-28.312177,19.30,9791689.96,-187.46,-215.47
139.823578,-28.321337,25.97,9791672.35,-199.00,-226.86
139.825748,-28.327837,24.21,9791674.05,-205.66,-233.53
139.826078,-28.334837,22.12,9791675.75,-213.35,-241.22
139.826748,-28.341337,27.77,9791661.74,-221.25,-249.02
139.827918,-28.347337,25.76,9791666.24,-225.21,-253.00
139.868418,-28.354837,32.80,9791645.33,-237.91,-265.71
139.860578,-28.352837,21.23,9791673.75,-230.59,-258.56
139.816247,-28.169177,23.44,9791606.71,-154.29,-182.93
139.816577,-28.176507,22.03,9791619.12,-150.18,-178.80
139.816917,-28.183837,21.39,9791626.42,-149.66,-178.27
139.817247,-28.191177,21.37,9791631.43,-150.24,-178.82
139.817577,-28.198837,21.31,9791634.43,-153.15,-181.70
139.817247,-28.206177,20.55,9791639.63,-154.98,-183.51
139.815747,-28.213007,20.05,9791644.33,-156.43,-184.93
139.816247,-28.220007,20.20,9791648.33,-157.43,-185.90
139.816077,-28.226677,20.58,9791650.74,-159.34,-187.77
139.817247,-28.232837,20.93,9791656.04,-158.01,-186.42
139.818417,-28.240507,24.54,9791656.44,-156.37,-184.69
139.818917,-28.246337,34.78,9791639.03,-158.20,-186.33
139.818577,-28.252837,27.21,9791663.34,-153.59,-181.81
139.819248,-28.259837,21.60,9791680.75,-152.42,-180.71
139.820578,-28.267177,21.43,9791682.85,-156.22,-184.47
139.818919,-28.347508,21.34,9791678.95,-221.29,-249.11
139.811079,-28.346338,26.23,9791671.05,-218.79,-246.51
139.803749,-28.346338,26.02,9791674.55,-215.72,-243.43
139.794419,-28.346008,20.05,9791691.06,-210.65,-238.41
139.786079,-28.347008,18.77,9791694.16,-210.83,-238.59
139.777919,-28.347008,35.48,9791653.24,-219.17,-246.63
139.771419,-28.347178,39.40,9791642.23,-222.68,-250.05
139.763749,-28.347178,26.10,9791669.85,-221.05,-248.60
139.754249,-28.347678,23.52,9791674.05,-222.30,-249.86
139.746419,-28.346678,19.59,9791685.35,-217.93,-245.53
139.737750,-28.347178,25.85,9791673.75,-217.73,-245.19
139.729920,-28.347838,39.23,9791644.93,-220.96,-248.18
139.719250,-28.348008,30.99,9791663.64,-218.50,-245.81
139.711580,-28.347679,28.20,9791669.05,-218.32,-245.65
139.703420,-28.347179,33.18,9791654.14,-223.16,-250.38
139.694750,-28.347839,31.73,9791654.54,-226.13,-253.33
139.685580,-28.347679,27.32,9791661.44,-227.74,-254.99
139.677080,-28.346509,21.36,9791672.15,-227.82,-255.12
139.669920,-28.347179,18.13,9791678.05,-228.75,-256.08
139.661250,-28.347839,25.67,9791659.04,-233.58,-260.75
139.801745,-28.062507,41.53,9791423.02,-222.24,-250.97
139.793246,-28.062007,23.17,9791470.24,-210.50,-239.49
139.786246,-28.062507,31.34,9791453.53,-211.67,-240.50
139.777916,-28.062837,24.66,9791472.94,-205.57,-234.48
139.769246,-28.062337,23.61,9791478.64,-201.57,-230.47
139.760576,-28.062507,26.96,9791473.34,-200.49,-229.31
139.753076,-28.062177,29.40,9791470.44,-198.40,-227.16
