lon_deg,lat_deg,bouguer_mgal
79.2000,9.8500,-24.651270
79.2500,9.8500,-27.534407
79.3000,9.8500,-33.117136
79.3500,9.8500,-40.719320
79.4000,9.8500,-44.067490
79.4500,9.8500,-40.067221
79.5000,9.8500,-34.224784
79.5500,9.8500,-31.905328
79.6000,9.8500,-32.906530
78.6000,9.8000,-22.686741
78.6500,9.8000,-17.262307
78.7000,9.8000,-13.176820
78.7500,9.8000,-11.266116
78.8000,9.8000,-12.092927
78.8500,9.8000,-14.559509
78.9000,9.8000,-16.788333
78.9500,9.8000,-18.358147
79.0000,9.8000,-19.814776
79.0500,9.8000,-21.366668
79.1000,9.8000,-23.247381
79.1500,9.8000,-25.908090
79.2000,9.8000,-29.238328
79.2500,9.8000,-32.526454
79.3000,9.8000,-37.721923
79.3500,9.8000,-43.066150
79.4000,9.8000,-42.296594
79.4500,9.8000,-35.662215
79.5000,9.8000,-31.198154
79.5500,9.8000,-32.009157
79.6000,9.8000,-34.129176
78.6000,9.7500,-17.392103
78.6500,9.7500,-13.384661
78.7000,9.7500,-11.585147
78.7500,9.7500,-11.626682
78.8000,9.7500,-13.875599
78.8500,9.7500,-17.604206
78.9000,9.7500,-20.884418
78.9500,9.7500,-23.166041
79.0000,9.7500,-25.075209
79.0500,9.7500,-26.670616
79.1000,9.7500,-28.088541
79.1500,9.7500,-31.126335
79.2000,9.7500,-35.221308
79.2500,9.7500,-38.341295
79.3000,9.7500,-41.645152
79.3500,9.7500,-43.907507
79.4000,9.7500,-40.767417
79.4500,9.7500,-34.088638
79.5000,9.7500,-31.073367
79.5500,9.7500,-32.485011
79.6000,9.7500,-33.798272
78.6000,9.7000,-14.205993
78.6500,9.7000,-12.891376
78.7000,9.7000,-14.288200
78.7500,9.7000,-16.293133
78.8000,9.7000,-19.070207
78.8500,9.7000,-22.795423
78.9000,9.7000,-25.902281
78.9500,9.7000,-28.175156
79.0000,9.7000,-31.361176
79.0500,9.7000,-34.082250
79.1000,9.7000,-35.726046
79.1500,9.7000,-38.667585
79.2000,9.7000,-42.481380
79.2500,9.7000,-44.129272
79.3000,9.7000,-43.521151
79.3500,9.7000,-41.219107
79.4000,9.7000,-36.251912
79.4500,9.7000,-30.299360
79.5000,9.7000,-27.050112
79.5500,9.7000,-26.377391
79.6000,9.7000,-26.967415
